symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
TRXUSDT,Market,20,1762540630904,Buy,cf077ea3-bf40-40b2-b64b-ce2b9cb16769,-0.94281628,0.01330546,0.03708082,0.28799666,231.0,66.52723,1762531284212,0.30239,231.0,0.29186,Trade,1,67.41966,2025-11-07 16:01:24,2025-11-07 18:37:10,TRXUSDT,2025-11-07
WIFUSDT,Market,20,1762539549717,Buy,7529a817-faab-4256-9a99-f3fb4992c014,-1.09272063,0.00707588,0.02004475,0.4781,74.0,35.3794,1762535629400,0.502,74.0,0.4925,Trade,1,36.445,2025-11-07 17:13:49,2025-11-07 18:19:09,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762534361839,Buy,7410e3c2-77b9-4737-aaf1-47b45a3e4f32,-1.48330665,0.0125379,0.03526875,0.46436666,135.0,62.6895,1762532462889,0.4875,135.0,0.475,Trade,1,64.125,2025-11-07 16:21:02,2025-11-07 16:52:41,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762530615877,Buy,9b8e0242-ac5e-4fc8-aadb-c35e73d9295b,-1.07594875,0.013436,0.03751275,0.44786666,150.0,67.18,1762528658106,0.4702,150.0,0.4547,Trade,1,68.205,2025-11-07 15:17:38,2025-11-07 15:50:15,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762526534725,Sell,7c13501a-9487-43a8-ad72-0f4f6f304222,0.29512569,0.00397432,0.01109999,0.4228,47.0,19.8716,1762526288727,0.4078,47.0,0.4294,Trade,1,20.1818,2025-11-07 14:38:08,2025-11-07 14:42:14,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762519725845,Sell,8e8dbf20-5496-4c19-98aa-094c0ad9afa2,-1.0127355,0.012871,0.0348645,0.42903334,150.0,64.355,1762517822159,0.4076,150.0,0.4226,Trade,1,63.39,2025-11-07 12:17:02,2025-11-07 12:48:45,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762515409810,Sell,365544e1-3125-4b68-a6f4-1d1cbcb874c5,-1.05841928,0.0138595,0.03755978,0.43583334,159.0,69.2975,1762512596438,0.4141,159.0,0.4295,Trade,1,68.2905,2025-11-07 10:49:56,2025-11-07 11:36:49,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762501689468,Sell,c06e486d-c83f-49cc-bc87-0ea5ef5ad370,0.22708218,0.00458224,0.01273558,0.4406,52.0,22.9112,1762501689465,0.423,52.0,0.4453,Trade,1,23.1556,2025-11-07 07:48:09,2025-11-07 07:48:09,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762487684513,Buy,ef24daca-6e37-4fa2-901d-4096a266f9cf,0.04166868,0.00105504,0.00287628,0.4396,12.0,5.2752,1762487684509,0.4573,12.0,0.4358,Trade,1,5.2296,2025-11-07 03:54:44,2025-11-07 03:54:44,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762492201672,Buy,8d84a5a0-eef3-4b2f-9060-f07fbe3e17ee,-0.02285752,0.0039564,0.01088505,0.4396,45.0,19.782,1762485548098,0.4615,45.0,0.4398,Trade,3,19.791,2025-11-07 03:19:08,2025-11-07 05:10:01,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762479276841,Buy,3001c30e-9aef-4488-be08-2f72eb6c67df,0.37483456,0.0049818,0.01348364,0.437,57.0,24.909,1762478463570,0.4517,57.0,0.4301,Trade,1,24.5157,2025-11-07 01:21:03,2025-11-07 01:34:36,WIFUSDT,2025-11-07
WIFUSDT,Market,20,1762475682755,Sell,0638a8f9-034c-487d-b74d-bc7195be25c0,0.07047684,0.00093291,0.00260634,0.42405,11.0,4.66455,1762475682752,0.4093,11.0,0.4308,Trade,1,4.7388,2025-11-07 00:34:42,2025-11-07 00:34:42,WIFUSDT,2025-11-07
XRPUSDT,Market,20,1762540840645,Buy,7f851de0-52fd-44b0-8dc7-d0653ba2a567,-1.23120222,0.01088211,0.03058011,2.2958,23.7,54.41046,1762534387941,2.4105,23.7,2.346,Trade,1,55.6002,2025-11-07 16:53:07,2025-11-07 18:40:40,XRPUSDT,2025-11-07
XRPUSDT,Market,20,1762532656463,Buy,3916bfec-1e73-4890-9b5b-1b7785ebd0a9,-0.85218587,0.01269409,0.03535172,2.20383333,28.8,63.4704,1762526691247,2.314,28.8,2.2318,Trade,2,64.27584,2025-11-07 14:44:51,2025-11-07 16:24:16,XRPUSDT,2025-11-07
XRPUSDT,Market,20,1762521677721,Sell,384163dc-3f1c-4adc-9522-d79dac1da1e9,0.30560414,0.004325,0.01207086,2.1625,10.0,21.625,1762518630498,2.0857,10.0,2.1947,Trade,2,21.947,2025-11-07 12:30:30,2025-11-07 13:21:17,XRPUSDT,2025-11-07
XRPUSDT,Market,20,1762494282882,Sell,8f5a74c5-8702-434f-9bf6-bf4fadc3470b,0.49765595,0.0093437,0.02598665,2.2037,21.2,46.71844,1762494282879,2.1174,21.2,2.2287,Trade,1,47.24844,2025-11-07 05:44:42,2025-11-07 05:44:42,XRPUSDT,2025-11-07
